person_id,identifier,scheme
uk.org.publicwhip/person/10157,611,datadotparl_id
uk.org.publicwhip/person/10157,Q296755,wikidata
uk.org.publicwhip/person/10157,235,historichansard_person_id
uk.org.publicwhip/person/10158,236,historichansard_person_id
uk.org.publicwhip/person/10158,Q338044,wikidata
uk.org.publicwhip/person/10159,237,historichansard_person_id
uk.org.publicwhip/person/10159,155,datadotparl_id
uk.org.publicwhip/person/10159,3608,yournextmp
uk.org.publicwhip/person/10159,2869,pims_id
uk.org.publicwhip/person/10159,Q296866,wikidata
uk.org.publicwhip/person/10160,Q333474,wikidata
uk.org.publicwhip/person/10160,5785,pims_id
uk.org.publicwhip/person/10160,346,datadotparl_id
uk.org.publicwhip/person/10160,238,historichansard_person_id
uk.org.publicwhip/person/10161,239,historichansard_person_id
uk.org.publicwhip/person/10161,Q333869,wikidata
uk.org.publicwhip/person/10162,240,historichansard_person_id
uk.org.publicwhip/person/10162,373,datadotparl_id
uk.org.publicwhip/person/10162,2885,yournextmp
uk.org.publicwhip/person/10162,2876,pims_id
uk.org.publicwhip/person/10162,Q300023,wikidata
uk.org.publicwhip/person/10163,Q337401,wikidata
uk.org.publicwhip/person/10163,241,historichansard_person_id
uk.org.publicwhip/person/10164,242,historichansard_person_id
uk.org.publicwhip/person/10164,Q5618133,wikidata
uk.org.publicwhip/person/10165,243,historichansard_person_id
uk.org.publicwhip/person/10165,Q7609031,wikidata
uk.org.publicwhip/person/10166,244,historichansard_person_id
uk.org.publicwhip/person/10166,Q4944413,wikidata
uk.org.publicwhip/person/10167,61,datadotparl_id
uk.org.publicwhip/person/10167,245,historichansard_person_id
uk.org.publicwhip/person/10167,Q300069,wikidata
uk.org.publicwhip/person/10168,83,historichansard_person_id
uk.org.publicwhip/person/10168,Q333158,wikidata
uk.org.publicwhip/person/10169,247,historichansard_person_id
uk.org.publicwhip/person/10169,Q338076,wikidata
uk.org.publicwhip/person/10170,Q300166,wikidata
uk.org.publicwhip/person/10170,248,historichansard_person_id
